ID_MES,DEPARTAMENTO,SITIO_TURISTICO,NUMERO_VISITANTES
2,LORETO,MUSEO AMÉRICA,0.3333333333333333
2,LORETO,RESERVA ALLPAHUAYO-MISHANA,22.0
2,LORETO,RESERVA NACIONAL DE PACAYA SAMIRIA,472.57142857142856
2,LORETO,ZONA RESERVADA SIERRA DIVISOR,72.42857142857143
2,MADRE DE DIOS,PARQUE NACIONAL DEL MANU,32.714285714285715
2,MADRE DE DIOS,RESERVA NACIONAL DE TAMBOPATA,1060.2857142857142
2,MOQUEGUA,MUSEO CONTISUYO,44.42857142857143
2,MOQUEGUA,"RESERVA NACIONAL DE ISLAS, ISLOTES Y PUNTAS GUANERAS-PUNTA COLES",3.0
2,PASCO,PARQUE NACIONAL YANACHAGA CHEMILLÉN,8.571428571428571
2,PASCO,SANTUARIO NACIONAL DE HUAYLLAY,11.0
2,PIURA,CASA MUSEO GRAN ALMIRANTE GRAU,37.6
2,PIURA,SALA DE ORO DEL MUSEO MUNICIPAL,2.0
2,PIURA,ZONA ARQUEOLÓGICA Y MUSEO DE SITIO NARIHUALÁ,19.285714285714285
2,PUNO,COMPLEJO ARQUEOLÓGICO DE SILLUSTANI,1091.7142857142858
2,PUNO,COMPLEJO ARQUEOLÓGICO Y MUSEO DE PUKARÁ,561.5714285714286
2,PUNO,ISLA AMANTANI DEL LAGO TITICACA,665.4285714285714
2,PUNO,ISLA TAQUILE DEL LAGO TITICACA,1975.7142857142858
2,PUNO,ISLA UROS DEL LAGO TITICACA,948.4285714285714
2,PUNO,MUSEO TEMPLO SAN JUAN DE LETRÁN,13.571428571428571
2,PUNO,RESERVA NACIONAL DEL TITICACA,1324.4285714285713
2,SAN MARTÃN,AGUAJAL RENACAL RÍO ROMERO SANTA ELENA,29.142857142857142
2,SAN MARTÃN,CATARATA DE AHUASHIYACU,194.42857142857142
2,SAN MARTÃN,CUEVA DE PALESTINA,10.571428571428571
2,SAN MARTÃN,LAGUNA AZUL - SAUCE,178.28571428571428
2,SAN MARTÃN,LOS BAÑOS TERMALES DE SAN MATEO,105.71428571428571
2,SAN MARTÃN,RECREO TURÍSTICO NACIENTE DE TIOYACU,106.0
2,SAN MARTÃN,RESERVA ECOLÓGICA TINGANA,26.0
2,TACNA,MUSEO DE PEAÑAS,35.0
2,TACNA,MUSEO HISTÓRICO REGIONAL - TACNA,115.85714285714286
2,TUMBES,"MUSEO DE SITIO CABEZA DE VACA ""GRAN CHILIMASA""",18.714285714285715
2,TUMBES,PARQUE NACIONAL CERROS DE AMOTAPE,1.1428571428571428
2,TUMBES,SANTUARIO NACIONAL LOS MANGLARES DE TUMBES,15.714285714285714
2,UCAYALI,CATARATA SHAMBILLO,148.83333333333334
2,UCAYALI,PUENTE AGUAYTIA,189.5
2,UCAYALI,RECURSO TURÍSTICO DUCHA DEL DIABLO,488.5
2,UCAYALI,RECURSO TURÍSTICO LOS TOBOGANES,193.16666666666666
2,UCAYALI,RECURSO TURÍSTICO VELO DE LA NOVIA,353.85714285714283
2,UCAYALI,ZOOLÓGICO PARQUE NATURAL DE PUCALLPA,187.85714285714286
2,ÃNCASH,COMPLEJO ARQUEOLÓGICO DE PAÑAMARCA,1.4285714285714286
2,ÃNCASH,MONUMENTO ARQUEOLÓGICO CHAVÍN DE HUÁNTAR,225.14285714285714
2,ÃNCASH,MONUMENTO ARQUEOLÓGICO DE WILLKAWAIN,30.428571428571427
2,ÃNCASH,MUSEO ARQUEOLÓGICO DE ÁNCASH,64.71428571428571
2,ÃNCASH,"MUSEO REGIONAL DE CASMA ""MAX UHLE""",31.714285714285715
2,ÃNCASH,PARQUE NACIONAL HUASCARÁN,2022.2857142857142
3,AMAZONAS,CAVERNA DE QUIOCTA,35.0
3,AMAZONAS,COMPLEJO ARQUEOLÓGICO DE KUÉLAP,390.7142857142857
